Position,Annual Salary in Dollar,Date Hired
Teacher,96038,1981
Teacher,96038,1986
Teacher,96038,1987
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1987
Teacher,96038,1982
Teacher,96038,1988
Teacher,96038,1992
Teacher,96038,1988
Literacy Coach,96038,1987
Teacher,96038,1987
Teacher,96038,1990
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1976
Teacher,96038,1985
Teacher,96038,1990
Teacher,96038,1987
Teacher,96038,1973
Teacher,96038,1986
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1991
Teacher,96038,1992
Teacher,96038,1990
Social Worker,96038,1986
Teacher,96038,1987
Teacher,96038,1975
Teacher,96038,1987
Athletic Trainer,96038,1991
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,2000
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1975
Teacher,96038,2001
Teacher,96038,1987
Teacher,96038,1992
Education Program Specialist,96038,1982
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1982
"Therapist,speech&language",96038,2001
Teacher,96038,1992
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1993
Teacher,96038,1966
Teacher,96038,1987
Teacher,96038,1980
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1996
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1977
"Therapist,speech",96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1983
Teacher,96038,1995
Teacher,96038,1986
Teacher,96038,1989
Teacher,96038,1987
Counselor,96038,1987
Teacher,96038,1980
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1987
Literacy Coach,96038,1998
Social Worker,96038,1988
Teacher,96038,1987
Teacher,96038,1986
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1983
Teacher,96038,1987
Teacher,96038,1985
Teacher,96038,1979
Teacher,96038,1994
Teacher,96038,1987
Teacher,96038,1998
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1986
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
"Therapist,speech",96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1986
Teacher,96038,1974
Teacher,96038,1986
Teacher,96038,1988
Teacher,96038,1989
Teacher,96038,1978
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1993
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1989
Teacher,96038,1976
Teacher,96038,1987
Teacher,96038,1986
Teacher,96038,1987
Social Worker,96038,1987
Teacher,96038,1987
Social Worker,96038,1981
Athletic Trainer,96038,1991
Teacher,96038,1987
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1994
Counselor,96038,1988
Teacher,96038,1971
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1986
Teacher,96038,1987
Teacher,96038,1990
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1976
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1986
Teacher,96038,1978
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1967
Teacher,96038,1978
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1985
Counselor,96038,1987
"Charles Henry Teacher,senior High",96038,1987
Teacher,96038,1987
Teacher,96038,1986
Teacher,96038,1987
Counselor,96038,1977
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1990
Teacher,96038,1980
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1992
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1992
Athletic Trainer,96038,1991
Teacher,96038,1986
Teacher,96038,1985
Teacher,96038,1987
"Psychologist,school",96038,1988
Teacher,96038,1980
Teacher,96038,1979
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1980
Teacher,96038,1986
Teacher,96038,1979
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1981
Teacher,96038,1981
Teacher,96038,1987
Teacher,96038,1980
Program Assistant,96038,1987
Teacher,96038,1986
Speech Pathologist,96038,1987
Teacher,96038,1981
Teacher,96038,1987
Teacher,96038,1992
Teacher,96038,1987
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1979
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1988
"Psychologist,clinical",96038,1987
Teacher,96038,1986
Teacher,96038,1989
Teacher,96038,1987
Teacher,96038,1992
Teacher,96038,1989
Librarian,96038,1987
Instructional Coach,96038,2003
Teacher,96038,1987
Teacher,96038,1997
Teacher,96038,1987
Teacher,96038,1989
Teacher,96038,1985
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1987
Teacher,96038,1972
Teacher,96038,1970
Teacher,96038,1987
Teacher,96038,1992
Teacher,96038,1971
Teacher,96038,1973
Teacher,96038,1987
Teacher,96038,1988
Teacher,96038,1982
Literacy Coach,96038,1991
Teacher,96038,1984
Speech Pathologist,96038,1987
Teacher,96038,1986
Teacher,96038,1987
Teacher,96038,1987
Librarian,96038,1988
Teacher,96038,1998
Teacher,96038,1989
Teacher,96038,1989
Teacher,96038,1989
Teacher,96038,1989
Supervisor,96029,1991
Assistant Director,96029,1987
School Improvement Specialist,96029,2005
Program Manager,96029,2005
Supervisor,96029,1981
"Assistant Dir, School Support",96029,1987
Content Specialist (ett),96029,1987
Administrative Law/appeals Judge,96013,2009
Administrative Law Judge,96013,2008
Economist,96013,2005
Administrative Law Judge,96013,1989
Program Analyst,96013,1979
Telecommications Specialist,96013,2006
Realty Program Specialist,96013,2005
Hr Specialist (recruitment),96013,2000
Community Planner,96013,2005
Gen Engineer,96013,2009
Dev Review Specialist,96013,2002
Gen Engineer,96013,2005
Project Manager,96013,1986
Community Planner,96013,2005
Community Planner,96013,2005
"Director, Support Services",96013,1991
Information Technology Specialist,96013,2006
Human Resources Spec (empl & L,96013,1984
Information Technology Specialist,96013,2007
Information Technology Specialist,96013,2009
Information Technology Specialist,96013,2004
Information Technology Specialist,96013,2004
Program Analyst,96013,2006
Lead Provider Relations Specialist,96013,1998
Human Resources Specialist,96013,1989
Telecommications Specialist,96013,2007
Substance Abuse Program Specialist,96013,1986
Project Manager,96013,2009
Information Technology Specialist,96013,2004
Information Technology Specialist,96013,2007
Information Technology Specialist,96013,2008
Information Technology Specialist,96013,2009
Information Technology Specialist,96013,2008
It Project Manager,96013,2008
Telecommications Specialist,96013,2006
Program Analyst,96013,2004
It Project Manager,96013,2000
Management Analyst,96013,1998
Management Analyst,96013,2005
Management Analyst,96013,2003
Program Analyst,96013,1991
Public Affairs Specialist,96013,2006
Management Analyst,96013,2007
Program Analyst,96013,2008
Project Manager,96013,1983
Marketing Specialist,96013,2003
Project Specialist,96013,2006
Legislative Affairs Specialist,96013,2007
Public Affairs Specialist,96013,2005
Policy Analyst,96013,2009
Telecommications Specialist,96013,2003
Assessment Specialist,96013,2006
Green Building Specialist,96013,2008
Grants Management Specialist,96013,2009
Information Technology Specialist,96013,1981
Program Coordinator,96013,2010
Special Assistant,96013,1969
Program Analyst,96013,2011
Information Technology Specialist,96013,2008
Information Technology Specialist,96013,2005
Hearing Examiner,96013,1987
Information Technology Specialist,96013,2010
Facility Operations Specialist,96013,2002
Safety And Occupational Health,96013,2000
Trans Planner (citywide),96013,2002
Emergency Preparedness Ofr,96013,2001
Management & Program Analyst,96013,2001
Information Technology Specialist,96013,2001
Building Manager,96000,2008
Auditor (tax),96000,2011
Information Technology Specialist,96000,2006
Visiting Professor,96000,2006
Project Manager,96000,1999
"Manager, Athletic Field Maint",96000,2010
Teacher,95992,1994
Teacher,95992,1991
Teacher,95992,1989
Teacher,95992,1988
Teacher,95992,1999
Teacher,95992,1994
Teacher,95992,1989
Teacher,95992,2001
Teacher,95992,1991
Teacher,95992,2000
Social Worker,95992,1997
Teacher,95992,1993
Social Worker,95992,1986
Teacher,95992,2000
Teacher,95992,1996
Teacher,95992,1992
Teacher,95992,2000
Teacher,95992,1989
Teacher,95992,1997
Teacher,95992,1991
Teacher,95992,2001
Social Worker,95992,2001
Teacher,95992,1991
Teacher,95992,1993
Teacher,95992,2000
Teacher,95992,1990
Teacher,95992,1998
Teacher,95992,1991
Teacher,95992,2000
Teacher,95992,1999
Teacher,95992,2000
Librarian,95992,1997
Teacher,95992,1996
Teacher,95992,1991
Teacher,95992,2001
Teacher,95992,1995
Counselor,95992,1992
Teacher,95992,1999
Teacher,95992,1999
Teacher,95992,1999
Teacher,95992,1998
Program Manager,95969,1989
Correctional Institution Admn,95950,2005
School Program Manager,95868,2003
Administrative Librarian,95811,2006
Attorney Advisor,95765,2001
Captain,95745,1992
Battalion Ems Supvr (capt),95745,1991
Captain,95745,1995
Captain,95745,1996
Captain,95745,1990
Captain,95745,1992
Director,95706,2009
Operation Specialist,95706,1999
Operation Specialist,95706,2000
Attorney Advisor,95680,2005
Battalion Ems Supervisor (capt,95663,2004
Battalion Ems Supervisor (capt,95663,1992
Battalion Ems Supervisor (capt,95663,2001
Battalion Ems Supervisor (capt,95663,2005
Battalion Ems Supervisor (capt,95663,1996
Editor (television),95588,2002
Clinical Nurse,95559,2007
Program Manager,95548,2004
Scuba Diver Sergeant,95387,1983
Sergeant Helicopter,95387,1989
Auditor (tax),95363,1989
Civil Engineer,95363,1985
Civil Engineer,95363,1990
Environmental Specialist,95363,1990
Information Technology Specialist,95363,2009
Appraiser,95363,2002
Appraiser,95363,2000
Information Technology Specialist,95363,2009
Information Technology Specialist,95363,2009
Clinical Psychologist,95363,2008
Program Analyst,95363,1995
Planning Specialist,95363,2005
Contract Specialist,95363,1986
Information Technology Specialist,95363,2002
Housing & Dev Project Manager,95363,1986
Information Technology Specialist,95363,1994
Information Technology Specialist,95363,1978
Housing & Dev Project Manager,95363,1999
Compliance Specialist,95363,1997
Apprenticeship & Training Rep,95363,1976
Computer Specialist,95363,1999
Civil Engineer,95363,2003
Intelligence Reseach Specialist,95363,1981
Logistics Management Specialist,95363,1999
Public Health Analyst,95363,1999
Public Health Advisor,95363,2000
Information Technology Specialist,95363,1990
Project Coordinator,95363,2008
Medicaid Waiver Specialist,95363,1996
Battalion Ems Supvr (capt),95346,1989
Battalion Ems Supvr (capt),95346,1989
Battalion Ems Supvr (capt),95346,1987
Captain,95346,1987
Battalion Ems Supvr (capt),95346,1986
Captain,95346,1991
Battalion Ems Supvr (capt),95346,1988
Battalion Ems Supvr (capt),95346,1988
Battalion Ems Supvr (capt),95346,1990
Deputy Associate Director,95305,2007
Zoning Specialist,95305,2001
Medical Officer (psychiatry),95227,2000
Resource Development Specialist,95189,1986
Trial Attorney,95158,2007
Attorney Advisor,95158,2001
Trial Attorney,95158,2007
Trial Attorney,95158,2007
Trial Attorney,95158,2008
Trial Attorney,95158,2003
Attorney Advisor,95158,2003
Trial Attorney,95158,2006
Attorney Advisor,95158,2005
Attorney Advisor,95158,2002
Trial Attorney,95158,2002
Trial Attorney,95158,2003
Trial Attorney,95158,2007
Trial Attorney,95158,2002
Trial Attorney,95158,2002
Attorney Advisor,95158,2008
Attorney Advisor,95158,2001
Trial Attorney,95158,2003
Soc Wkr (unit Supvr),95130,1986
Assc Vp Std Aff Enr Mgt,95103,2008
Associate Dean Of Students,95103,2008
Project Manager,95087,2008
Infection Control Coordinator,95000,2009
Qa Program,95000,2008
Committee Director,95000,2005
Exec Dir For Comm On Women,95000,2008
Analyst,95000,2008
It Spec (enterprise Arch),95000,2010
Change In Placemnt Coord,95000,2005
Fiscal Program Analyst,95000,2003
Project Manager,95000,2008
Deputy Program Manager For Zoning,95000,2010
Contract Specialist,95000,2010
Deputy Chief Of Staff,95000,2011
Information Technology Specialist,94998,2010
Information Technology Specialist,94998,1990
Information Technology Specialist,94998,2010
Principal,94995,1999
Principal,94995,2009
Principal,94995,2003
Principal,94995,2007
Principal,94995,2011
Principal,94995,2011
Behavioral Health Program Mn,94990,2007
Director,94961,2007
Social Insurance S,94945,1978
Project Manager,94878,2008
Revitalization Program Manager,94837,2001
Assistant Principal,94825,2009
Assistant Principal,94825,1998
Assistant Principal,94825,2009
Assistant Principal,94825,2006
Assistant Principal,94825,2004
Assistant Principal,94825,1990
Assistant Principal,94825,2010
Assistant Principal,94825,2009
Assistant Principal,94825,2011
Assistant Principal,94825,1991
Assistant Principal,94825,1998
Assistant Principal,94825,2010
Assistant Principal,94825,2004
Assistant Principal,94825,2004
General Engineer (project Manager),94759,2004
Psychiatric Nurse,94749,1998
Attorney Advisor,94720,2007
Dep Assoc Administrative (collections),94719,2005
Strong Families Progrm Manager,94675,1988
Customer Service Representative,94675,2003
Lieutenant,94590,1987
Lieutenant,94590,1987
Lieutenant,94590,1990
Lieutenant,94590,1989
Lieutenant,94590,1987
Lieutenant,94590,1986
Lieutenant,94590,1987
Lieutenant,94590,1987
Lieutenant,94590,1987
Lieutenant,94590,1988
Lieutenant,94590,1986
Lieutenant,94590,1986
Lieutenant,94590,1987
Lieutenant,94590,1989
Lieutenant,94590,1988
Lieutenant,94590,1989
Lieutenant,94590,1989
Lieutenant,94590,1989
Teacher,94573,2008
Counselor,94573,2007
Teacher,94573,2006
Teacher,94573,1999
Teacher,94573,2009
Principal,94541,2009
Attorney Advisor,94500,1997
Administrative Officer,94444,2005
Assistant City-wide Program Suppor,94444,2003
Protocol Officer,94385,2005
Workers Compensation Recipient,94328,1994
Nurse Practitioner,94294,2009
Nurse Educator,94294,2006
Nurse Educator,94294,1994
Nurse Consultant,94294,1987
Resource Development Specialist,94282,1987
Teacher,94255,1994
Teacher,94255,2000
Teacher,94255,1995
"Educ Program Spec-hea,pe&ath",94255,1999
Teacher,94255,2003
Teacher,94255,1999
Teacher,94255,1993
Teacher,94255,1997
Teacher,94255,1997
Teacher,94255,2002
Literacy Coach,94255,1994
Teacher,94255,1994
Librarian,94255,2006
Teacher,94255,2001
Teacher,94255,1999
Teacher,94255,2002
Teacher,94255,1998
Teacher,94255,1994
Teacher,94255,1993
Teacher,94255,1992
Teacher,94255,1987
Teacher,94255,1992
Teacher,94255,1970
Teacher,94255,1998
Librarian,94255,2000
Teacher,94255,1993
Teacher,94255,2001
Teacher,94255,1997
Teacher,94255,1998
Teacher,94255,1997
Social Worker,94255,1994
Teacher,94255,2001
Teacher,94255,1998
Teacher,94255,2001
Teacher,94255,2001
Teacher,94255,1995
Teacher,94255,1992
Teacher,94255,1993
Librarian,94255,1998
Teacher,94255,1991
Teacher,94255,1999
Teacher,94255,1992
Teacher,94255,1994
Literacy Coach,94255,1997
Counselor,94255,2002
Teacher,94255,1999
Teacher,94255,1992
Budget Administration Analyst,94182,2000
Information Technology Specialist,94182,1979
Criminal Investigator,94182,1998
Financial Manager,94182,2007
Information Technology Specialist,94182,1981
Executive Assistant,94182,1992
Revenue Officer,94182,1983
Auditor (tax),94182,2000
Accounting Manager,94182,2007
Appraiser,94182,2007
Fiscal Analyst,94182,2005
Auditor (tax),94182,1995
Executive Assistant,94182,2002
Budget Officer,94182,2003
Financial Manager,94182,2010
Payroll Operations Manager,94182,1986
Operations Manager,94182,2004
Auditor,94182,1999
Counselor,94167,1999
Attorney Advisor,94114,1998
Trial Attorney,94114,2003
Attorney Advisor,94114,1999
Accountant,94096,1993
Auditor,94096,1977
Executive Assistant,94096,1993
Budget Analyst,94096,1991
Executive Assistant,94096,1996
Financial Systems Analyst,94096,1991
Employee Relations And Eeo Spe,94096,2011
Accountant,94096,1981
Budget Analyst,94096,2010
Executive Assistant,94096,1998
"Director, Mobile Crisis Servic",94070,2008
Customer Service Representative,94050,2007
Director,94050,2011
Executive Assistant,94000,2004
Budget Analyst,94000,2006
Sergeant Ert Personnel,93887,1981
Sergeant Ert Personnel,93887,1989
Sergeant Ert Personnel,93887,1980
Sergeant Ert Personnel,93887,1986
Adoptions Program Manager,93881,1994
Lieutenant,93825,1986
Lieutenant,93825,1983
Lieutenant,93825,1985
Lieutenant,93825,1986
Lieutenant,93825,1982
Lieutenant,93825,1985
Lieutenant,93825,1986
Program Manager,93818,1998
Deputy Assoc Administrative (sweep),93818,1994
Criminal Investigator (ia,93817,1998
Assistant Principal,93780,2003
Professor,93775,1971
Professor,93775,1970
Lieutenant,93759,1992
Lieutenant,93759,1994
Lieutenant,93759,1994
Lieutenant,93759,1993
Lieutenant,93759,1992
Lieutenant,93759,1994
Lieutenant,93759,1994
Lieutenant,93759,1992
Lieutenant,93759,1990
Teacher,93745,1988
Engineering Tech,93734,1980
Workers Comp Claims Exam,93699,1981
"Assistant Dir, athletics",93661,1975
Management Liaison Specialist,93616,2004
Teacher,93605,1989
Teacher,93605,1999
Social Worker,93605,1999
Teacher,93605,2001
Librarian,93605,1980
Teacher,93605,1999
Teacher,93605,1998
Librarian,93605,1997
Teacher,93605,2001
Teacher,93605,1987
Teacher,93605,1989
Social Worker,93605,1999
Teacher,93605,2001
Teacher,93605,1992
Teacher,93605,2001
Teacher,93605,1987
Teacher,93605,1997
Teacher,93605,2000
Teacher,93605,1997
Teacher,93605,1999
Teacher,93605,1997
Teacher,93605,1989
Social Worker,93605,1979
"Therapist,speech",93605,1987
Teacher,93605,1991
Teacher,93605,1987
Social Worker,93605,1999
Teacher,93605,2001
Teacher,93605,1990
Literacy Coach,93605,2000
Social Worker,93605,1999
Teacher,93605,1998
Professional Dev Specialist,93605,1990
Teacher,93605,1993
Teacher,93605,1989
Teacher,93605,2002
Teacher,93605,1984
Social Worker,93605,2001
Teacher,93605,2001
Teacher,93605,1987
Teacher,93605,1991
Teacher,93605,1991
Teacher,93605,1999
Teacher,93605,1998
Teacher,93605,1994
Teacher,93605,2000
Teacher,93605,1991
Social Worker,93605,1989
Teacher,93605,1995
Teacher,93605,1988
Teacher,93605,1999
Teacher,93605,1989
Teacher,93605,1992
Teacher,93605,2001
Social Worker,93605,2001
Teacher,93605,1999
Teacher,93605,1991
Teacher,93605,1987
"Psychologist,school",93605,1988
Teacher,93605,1999
Teacher,93605,2000
Librarian,93605,2001
Teacher,93605,1991
Teacher,93605,1998
Teacher,93605,1991
Teacher,93605,2001
Teacher,93605,1999
Teacher,93605,1992
Teacher,93605,1988
Teacher,93605,2001
Teacher,93605,2001
Teacher,93605,1995
Social Worker,93605,1997
Teacher,93605,1989
Teacher,93605,1999
Teacher,93605,1988
Teacher,93605,1987
Teacher,93605,1987
Teacher,93605,1991
Teacher,93605,1989
Teacher,93605,1989
Teacher,93605,1988
Teacher,93605,1983
Teacher,93605,1991
Teacher,93605,1998
Teacher,93605,1990
Teacher,93605,1987
Teacher,93605,1992
Teacher,93605,1992
Teacher,93605,1990
Teacher,93605,1996
Teacher,93605,1986
Teacher,93605,1990
Teacher,93605,1997
Teacher,93605,1997
Teacher,93605,1990
Teacher,93605,2001
Teacher,93605,1983
Teacher,93605,1990
Teacher,93605,1990
Teacher,93605,1989
Computer Specialist,93588,1998
Principal,93500,2002
Principal,93500,1999
Principal,93500,2009
Principal,93500,2009
Principal,93500,2010
Principal,93500,1994
Principal,93500,2009
Principal,93500,2010
Workforce Training & Developme,93500,2009
Special Assistant,93500,2007
Principal,93500,2000
Principal,93500,2009
Sergeant Paramedic,93404,1983
Sergeant Paramedic,93404,1982
Sergeant Paramedic,93404,1986
Lieutenant,93311,1987
Lieutenant,93311,1990
Lieutenant,93311,1989
Criminal Investigator,93300,2000
Information Technology Specialist,93286,2007
Telecommications Specialist,93286,2007
Project Manager,93286,2008
Auditor,93286,2008
Special Assistant,93286,1998
Criminal Investigator,93286,1999
Community Planner,93286,2006
Nat'l Incid Management Program Ofcr,93286,2011
Auditor,93286,2002
Information Technology Specialist,93286,2008
Information Technology Specialist,93286,2008
Information Technology Specialist,93286,2007
Telecommications Specialist,93286,2008
Information Technology Specialist,93286,2007
Information Technology Specialist,93286,2007
Telecommications Specialist,93286,2007
Program Analyst,93286,2010
Telecommications Specialist,93286,2007
Insurance Program Officer,93286,2010
Grants Specialist (ncr),93286,2009
Information Technology Specialist,93286,2008
Public Util Spec (telecom),93286,2006
Recovery Program Analyst,93286,1988
Administrative Law Judge,93286,2007
Administrative Law Judge,93286,2001
Project Manager,93286,2006
Contract Specialist,93286,2008
Administrative Law Judge,93286,2007
Computer Specialist,93286,1994
Intergovernmental Affairs Specialist,93286,1997
Information Technology Specialist,93286,2006
Administrative Law Judge,93286,1993
Project Coordinator,93286,2005
Project Manager,93286,2005
Administrative Officer,93286,2000
Administrative Officer,93286,1983
Special Assistant,93286,2008
Management Analyst,93286,2010
Special Assistant,93286,2001
Public Affairs Specialist,93286,2005
Child Care Services Program Manager,93286,1979
Information Technology Specialist,93286,2003
Administrative Officer,93286,1990
Project Manager,93262,1999
Operation Specialist,93262,2009
Project Manager,93262,2010
"Hr Spec,technology",93262,1988
Director (eg-15),93262,1978
School Performance Officer,93262,2004
Program Manager,93262,2011
Program Analyst,93262,2005
Project Manager,93262,2009
Criminal Investigator,93217,2002
Criminal Investigator,93217,1999
Teacher,93212,1996
Teacher,93212,2005
Teacher,93212,1997
Teacher,93212,2003
Librarian,93212,2000
Teacher,93212,1994
Teacher,93212,1987
Teacher,93212,1995
Teacher,93212,1999
Teacher,93212,1995
Teacher,93212,2004
Librarian,93212,1999
Teacher,93212,1995
Social Worker,93212,2000
Teacher,93212,2003
Teacher,93212,1996
Teacher,93212,1993
Teacher,93212,2004
Teacher,93212,1999
Social Worker,93212,1998
Social Worker,93164,1998
Business Operations Manager,93000,2009
Social Work Program Manager,93000,1993
Information Technology Specialist,93000,2007
Director Of Community Relation,93000,2009
Strategic Planning Officer,93000,2010
Training Manager,93000,2009
Chief Of Staff,93000,2006
Dean,92991,2009
Capital Projects Manager,92991,2008
Detective Sergeant,92982,1987
Detective Sergeant,92982,1982
Detective Sergeant,92982,1987
Detective Sergeant,92982,1983
Detective Sergeant,92982,1969
Detective Sergeant,92982,1990
Detective Sergeant,92982,1990
Detective Sergeant,92982,1985
Detective Sergeant,92982,1983
Detective Sergeant,92982,1987
Detective Sergeant,92982,1990
Detective Sergeant,92982,1988
Detective Sergeant,92982,1990
Detective Sergeant,92982,1990
Detective Sergeant,92982,1983
Detective Sergeant,92982,1987
Detective Sergeant,92982,1990
Detective Sergeant,92982,1988
Detective Sergeant,92982,1990
Detective Sergeant,92982,1971
Detective Sergeant,92982,1984
Detective Sergeant,92982,1990
Detective Sergeant,92982,1985
Detective Sergeant,92982,1985
Detective Sergeant,92982,1990
Detective Sergeant,92982,1990
Detective Sergeant,92982,1989
Special Assistant,92975,2000
Program Officer (community Ser,92972,1992
Civil Engineer,92941,2004
Service Coordinator,92932,1979
Program Analyst,92900,1989
Insurance Examiner,92866,1994
Systems Accountant,92866,1988
Victim/witness Program Special,92866,1988
Information Technology Specialist,92866,1985
Information Technology Specialist,92866,2007
Financial Examiner Ins,92866,2006
Hearing Examiner,92866,1993
Lead Pharmacist,92866,1985
Auditor (tax),92866,1983
Policy Specialist,92866,1987
Program Monitor,92866,1998
Public Affairs Specialist,92866,1996
Contract Specialist,92866,1967
In Service Foster Parent Train,92866,1999
Financial Examiner Ins,92866,2001
Clinical Psychologist,92866,2004
Hearing Examiner,92866,1997
Program Analyst,92866,2001
Civil Engineer,92866,1973
Contract Price Cost Analyst,92866,1999
Cable Television Inspector,92866,2002
Electrical Engineer,92866,1985
Project Coordinator,92866,2000
Technical Writer,92866,1992
Information Technology Specialist,92866,2002
Information Technology Specialist,92866,1999
Intelligence Reseach Specialist,92866,1998
Housing & Dev Project Manager,92866,1991
Program Analyst,92866,1970
Entomologist,92866,1994
Transportation Engineer,92866,2006
Wage & Hr Compliance Program Specialist,92866,1980
Environmental Specialist,92866,2000
Public Health Analyst,92866,1988
It Spec (app Sftwre/data Mgmt),92866,2001
Civil Engineer,92866,2008
Health Services Administrator,92866,1999
Public Health Analyst,92866,2002
Environmental Specialist,92866,1990
Social Insurance S,92822,1986
Nurse Consultant,92797,1976
Nurse Specialist,92797,1995
Psychiatric Nurse,92797,1990
Psychiatric Nurse,92797,1987
Nurse Consultant,92797,1986
Nurse Consultant,92797,1999
Nurse Consultant,92797,1987
Nurse Specialist,92797,1998
Nurse Consultant,92797,1989
Nurse Consultant,92797,2003
Nurse Consultant,92797,1999
Sanitarian,92784,1987
Sanitarian Qmrp,92784,1998
Sanitarian,92784,1984
Physician Assistant,92784,2010
Provider Relations Specialist,92782,2003
Risk Management Coordinator,92782,2006
Grants Specialist,92782,2010
Contract Specialist,92782,2009
Human Resources Spec Class,92782,1976
Trng & Emergency Excercise Spe,92782,2009
Human Resources Spec Class,92782,1965
Grants Specialist,92782,2009
Human Resources Specialist,92782,2009
Human Resources Specialist,92782,2007
Human Resources Specialist,92782,2006
Management Analyst,92782,1986
Management Liaison Specialist,92782,2004
Hr Specialist,92782,1999
Information Technology Specialist,92782,2001
Intergov Liaison Specialist,92782,2009
Program Analyst,92782,2004
Contract Specialist,92782,1974
Project Manager,92782,2008
Program Analyst,92782,2007
Hr Spec (labor Relations),92782,2006
Education Program Specialist,92782,1982
Information Technology Specialist,92782,2006
Information Technology Specialist,92782,2009
Public Health Analyst,92782,2008
Administrative Specialist,92782,2000
Interpreter American Sign,92782,2009
Education Services Specialist,92782,2008
Contract Specialist,92782,2007
Social Svcs Program Manager,92730,2010
Assistant Principal,92718,2009
Assistant Principal,92718,1999
Assistant Principal,92718,2004
Assistant Principal,92718,2008
Director,92714,2001
Management Liaison Specialist,92714,1992
Assistant Dean,92714,2002
"Chief, Facilities Management",92714,2008
Public Interest Program Off,92714,2009
Social Worker,92705,1979
Admin,92705,1981
Director,92700,2007
Information Technology Specialist,92700,2005
Director Of African Affairs,92700,2011
Committee Director,92700,2011
Marine Engineer,92676,1989
Assistant General Counsel,92675,2007
Attorney Advisor,92675,2005
Trial Attorney,92675,2010
Social Worker Program Manager,92530,1996
Home Purchase Assistant Program Manager,92530,2006
Audiovisual Prod Specialist,92530,1996
Labor Relations Coor,92530,2006
Supvry Program Analyst,92530,2003
Gen Engineer,92530,2003
Support Services Specialist,92530,2005
Social Worker Program Manager,92530,1993
Contract Specialist,92500,2011
Trial Attorney,92439,2007
Trial Attorney,92439,2007
Trial Attorney,92439,2007
Trial Attorney,92439,2008
Trial Attorney,92439,2004
Trial Attorney,92439,2008
Trial Attorney,92439,2008
Trial Attorney,92439,2004
Attorney Advisor,92439,2002
Attorney Advisor,92439,2010
Trial Attorney,92439,2004
Trial Attorney,92439,2006
Attorney Advisor,92439,1996
Trial Attorney,92439,2005
Trial Attorney,92439,2008
Trial Attorney,92439,2010
Attorney Advisor,92439,2007
Trial Attorney,92439,2007
Attorney Advisor,92439,2003
Trial Attorney,92439,2007
Trial Attorney,92439,2005
Trial Attorney,92439,2007
Supervisor,92424,1997
Program Manager,92424,1994
Building Manager,92395,2011
Librarian,92395,1986
Program Manager,92395,2001
